Applicant ID,School Name,GPA,Degree,Location,Gender,Veteran status,Work authorization,Disability,Ethnicity,Role 1,Start 1,End 1,Role 2,Start 2,End 2,Role 3,Start 3,End 3
183,State Providence College,2.64,Bachelor's,New York,M,0,0,0,1,Junior SWE,02/19,01/15,ML Engineer,07/13,12/17,ML Engineer,02/18,10/19
184,Providence School,3.66,Bachelor's,Providence,M,0,0,0,1,Research Assistant,05/16,11/14,Lawyer,05/10,12/11,Research Assistant,10/14,01/17
185,Providence State University,3.51,PhD,Los Angeles,M,0,0,0,1,Senior SWE,03/13,05/17,Research Assistant,07/16,02/10,Research Assistant,02/12,06/15
186,Providence University,2.72,Bachelor's,New York,F,0,0,0,0,Senior SWE,06/16,08/13,Junior SWE,10/14,06/18,Data Scientist,04/18,08/16
187,Providence School,3.13,Master's,Providence,F,0,0,0,3,Lawyer,04/17,08/17,Junior SWE,09/13,12/13,Senior SWE,04/18,10/11
188,State Providence College,3.59,Bachelor's,Los Angeles,F,0,0,0,1,Data Scientist,09/10,01/14,Junior SWE,09/18,07/10,Lawyer,04/19,09/16
189,Providence School,3.59,PhD,Boston,F,0,0,0,1,ML Engineer,10/11,09/16,Research Assistant,02/14,08/19,Senior SWE,10/19,05/13
190,Providence Tech Institute,3.54,Bachelor's,Providence,N/A,0,0,1,0,Research Assistant,05/10,04/10,Senior SWE,01/19,04/16,Research Assistant,06/11,10/19
191,Providence Tech Institute,2.73,Bachelor's,Chicago,M,0,1,0,0,Data Scientist,11/12,04/12,Senior SWE,03/18,03/15,N/A,01/15,03/18
192,Providence City College,3.67,PhD,Los Angeles,F,1,0,1,3,Research Assistant,04/12,11/15,Research Assistant,10/12,12/16,ML Engineer,01/15,06/15
193,Providence State University,2.7,Master's,Los Angeles,M,0,0,0,0,Lawyer,05/18,10/18,Junior SWE,12/16,06/14,N/A,01/12,05/17
194,Providence Tech Institute,3.97,Bachelor's,Los Angeles,F,1,1,0,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
195,Providence Tech Institute,2.73,Master's,Providence,M,0,0,0,3,Research Assistant,10/17,10/18,Lawyer,02/12,09/18,Senior SWE,07/17,12/18
196,Providence Tech Institute,3.39,Bachelor's,Providence,M,0,1,N/A,0,Senior SWE,09/10,08/14,Data Scientist,01/10,09/18,Junior SWE,01/13,12/14
197,Providence City College,3.66,Master's,New York,M,0,1,0,0,Data Scientist,05/19,05/18,ML Engineer,05/10,10/18,Senior SWE,04/16,07/12
198,Providence State University,2.51,PhD,New York,F,0,1,0,0,Senior SWE,11/13,10/14,Senior SWE,08/12,05/14,Senior SWE,03/13,10/19
199,Providence State University,3.58,Master's,Los Angeles,F,0,0,0,1,Lawyer,06/17,11/18,Research Assistant,02/10,07/19,Data Scientist,10/11,09/12
200,Providence University,2.84,Bachelor's,Miami,N/A,0,1,0,0,Research Assistant,01/17,05/19,ML Engineer,02/12,06/15,Data Scientist,03/16,10/16
201,Providence School,2.77,Master's,Boston,M,0,0,0,1,Data Scientist,08/15,09/17,Senior SWE,10/10,02/13,N/A,10/10,06/19
202,Providence State University,2.61,Master's,Boston,F,0,0,0,1,Lawyer,09/16,08/17,Research Assistant,09/13,06/12,N/A,04/18,05/19
203,Providence University,2.79,PhD,Chicago,M,0,0,0,0,Data Scientist,10/12,11/16,ML Engineer,08/16,04/10,Lawyer,02/13,04/17
204,State Providence College,3.41,PhD,Chicago,F,0,1,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
205,Providence School,4.0,Bachelor's,Chicago,F,0,1,0,3,Senior SWE,11/16,02/19,Lawyer,05/16,05/17,Research Assistant,10/16,12/11
206,State Providence College,3.35,Master's,Los Angeles,M,0,0,0,0,Lawyer,01/19,01/11,ML Engineer,11/14,10/14,Lawyer,08/19,07/13
207,State Providence College,3.41,Master's,Providence,M,0,0,0,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
208,Providence State University,3.08,Master's,New York,F,0,0,0,0,Senior SWE,01/16,11/12,ML Engineer,10/14,10/17,Junior SWE,12/18,07/14
209,Providence State University,2.56,Master's,New York,M,0,0,0,0,Senior SWE,04/15,05/13,Lawyer,01/15,03/18,Senior SWE,07/14,09/15
210,Providence University,3.6,Bachelor's,Boston,F,0,0,0,2,Research Assistant,11/10,01/15,ML Engineer,01/17,02/16,Junior SWE,11/10,09/14
211,Providence State University,2.62,Master's,Boston,M,0,1,0,0,Lawyer,06/16,02/10,Data Scientist,05/10,01/11,ML Engineer,04/11,06/17
212,Providence University,3.58,Master's,Boston,M,0,0,0,0,Senior SWE,08/17,06/15,Senior SWE,06/16,04/10,Senior SWE,01/12,06/15
213,Providence State University,3.75,PhD,New York,N/A,0,0,0,0,Lawyer,10/18,02/12,Senior SWE,10/16,10/11,Junior SWE,07/14,12/10
214,State Providence College,2.84,PhD,Chicago,M,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
215,Providence City College,3.66,Master's,Providence,F,0,0,0,0,Senior SWE,12/14,08/17,Senior SWE,07/13,03/16,Research Assistant,06/15,03/18
216,Providence School,3.87,Master's,Chicago,M,0,1,0,1,ML Engineer,12/14,01/13,Junior SWE,07/18,01/13,Research Assistant,03/12,07/13
217,Providence School,3.34,PhD,Boston,F,0,0,0,0,Lawyer,11/14,02/18,Data Scientist,09/17,02/11,Data Scientist,10/13,11/19
218,Providence State University,3.14,PhD,New York,F,0,0,0,3,Junior SWE,11/16,02/19,Senior SWE,05/13,10/18,Junior SWE,11/10,01/15
219,Providence Tech Institute,3.33,PhD,Boston,F,0,0,0,3,Junior SWE,04/13,12/11,Research Assistant,11/19,10/10,Lawyer,10/15,03/18
220,Providence Tech Institute,3.71,PhD,Boston,F,0,1,0,3,Data Scientist,08/13,01/14,Data Scientist,10/16,12/11,ML Engineer,04/12,05/12
221,State Providence College,3.42,PhD,New York,M,1,0,0,2,Lawyer,02/15,12/14,Data Scientist,04/15,07/12,Data Scientist,07/15,06/14
222,Providence State University,3.35,Master's,Chicago,F,0,0,0,0,Lawyer,05/19,04/19,Lawyer,01/16,05/12,Senior SWE,08/13,12/17
223,Providence City College,3.11,Bachelor's,Los Angeles,F,0,0,0,0,Lawyer,02/16,09/17,Junior SWE,03/11,09/14,N/A,07/16,06/12
224,Providence City College,2.54,Bachelor's,Los Angeles,M,0,1,0,4,Data Scientist,12/12,08/17,ML Engineer,05/13,11/16,Lawyer,10/15,08/16
225,State Providence College,2.72,Bachelor's,Los Angeles,F,0,0,1,4,Junior SWE,01/15,02/18,Lawyer,05/15,03/19,N/A,07/14,02/13
226,Providence School,3.27,PhD,Providence,F,0,0,0,3,ML Engineer,08/16,10/19,ML Engineer,08/16,06/18,Senior SWE,07/16,06/15
227,State Providence College,3.47,PhD,Providence,N/A,0,1,0,1,Data Scientist,03/11,01/18,Lawyer,11/12,11/14,Lawyer,04/18,01/14
228,Providence School,2.77,Master's,Boston,F,1,1,0,0,Lawyer,10/16,02/13,Senior SWE,03/11,02/10,Data Scientist,09/19,05/14
229,Providence State University,3.52,Bachelor's,Boston,M,0,0,1,0,Research Assistant,06/10,10/12,Lawyer,10/16,01/12,Senior SWE,05/11,02/19
230,State Providence College,3.29,Bachelor's,New York,M,1,0,0,1,Lawyer,03/19,09/15,Data Scientist,12/12,10/11,Lawyer,05/19,10/16
231,State Providence College,3.51,Master's,Miami,M,0,0,0,0,Lawyer,06/13,10/17,Junior SWE,02/13,01/10,Research Assistant,10/17,01/16
232,Providence Tech Institute,3.29,Master's,Los Angeles,N/A,0,0,0,0,ML Engineer,03/15,02/17,Senior SWE,08/11,08/10,Senior SWE,04/13,05/15
233,Providence Tech Institute,3.14,Bachelor's,New York,F,0,0,0,3,Research Assistant,01/19,03/10,ML Engineer,04/16,08/19,Lawyer,10/15,08/19
234,State Providence College,2.97,PhD,Chicago,M,0,0,0,0,Lawyer,04/19,05/12,Lawyer,10/18,05/13,ML Engineer,01/14,02/17
235,State Providence College,2.75,PhD,Chicago,M,0,0,0,3,Data Scientist,11/18,07/12,Lawyer,11/12,07/18,Research Assistant,03/16,01/17
236,Providence Tech Institute,2.63,Bachelor's,New York,F,0,0,0,0,Lawyer,04/17,10/17,Senior SWE,03/16,06/15,Research Assistant,01/13,06/11
237,Providence University,3.78,Bachelor's,Miami,N/A,0,1,0,0,Junior SWE,03/17,09/17,ML Engineer,09/11,04/18,Data Scientist,02/19,03/12
238,Providence School,3.32,Master's,Los Angeles,F,0,0,0,0,Research Assistant,09/17,07/12,Data Scientist,04/11,09/10,ML Engineer,05/14,11/19
239,Providence State University,3.98,Master's,New York,M,0,1,0,3,Junior SWE,03/19,04/17,ML Engineer,03/10,05/14,Research Assistant,12/15,08/19
240,Providence Tech Institute,3.77,PhD,Boston,M,0,0,1,1,Junior SWE,03/19,09/19,Research Assistant,02/18,04/12,ML Engineer,09/16,12/18
241,Providence State University,2.68,PhD,Los Angeles,F,0,1,0,3,Research Assistant,03/17,09/18,Data Scientist,12/11,07/10,Junior SWE,05/15,05/11
242,State Providence College,3.81,Master's,Los Angeles,M,0,1,0,0,Lawyer,07/12,11/11,Senior SWE,04/11,03/15,Senior SWE,01/10,12/19
243,Providence State University,3.66,Master's,Chicago,M,1,1,1,3,Research Assistant,07/17,12/13,Research Assistant,05/18,06/16,ML Engineer,03/13,10/10
244,State Providence College,3.98,Master's,New York,F,0,0,0,3,Data Scientist,11/12,02/13,Senior SWE,12/12,02/19,Lawyer,06/12,07/14
245,State Providence College,3.83,Master's,Chicago,N/A,0,0,0,0,Junior SWE,03/12,05/14,Junior SWE,05/15,10/16,Data Scientist,12/16,11/17
246,State Providence College,3.04,Bachelor's,Boston,F,0,0,0,3,Junior SWE,10/12,01/14,Lawyer,04/17,08/18,Junior SWE,07/13,06/17
247,Providence University,3.46,Master's,Boston,M,0,1,0,0,Research Assistant,01/12,05/19,Lawyer,12/11,09/18,Data Scientist,11/11,08/15
248,Providence Tech Institute,3.46,Master's,Chicago,M,0,0,0,4,Senior SWE,09/15,10/12,Junior SWE,07/18,08/12,Junior SWE,12/18,08/16
249,Providence School,3.91,Master's,New York,M,0,0,0,1,Research Assistant,01/17,04/17,Lawyer,01/14,01/10,Lawyer,09/19,11/10
250,Providence State University,2.76,Bachelor's,Miami,F,0,0,0,1,ML Engineer,03/16,01/12,Data Scientist,06/19,11/11,ML Engineer,12/18,12/14
251,Providence School,3.16,Master's,Miami,F,0,0,0,0,Lawyer,12/19,02/10,Research Assistant,06/16,08/18,ML Engineer,07/12,05/15
252,Providence City College,3.37,PhD,Providence,M,0,0,0,2,Lawyer,11/16,10/15,Lawyer,10/12,11/10,N/A,03/17,11/19
253,Providence Tech Institute,2.51,Master's,Miami,F,1,0,0,0,Research Assistant,09/18,05/13,Junior SWE,03/15,12/17,Junior SWE,09/15,03/18
254,Providence Tech Institute,2.72,Master's,Chicago,F,0,1,0,0,Research Assistant,08/16,10/14,Research Assistant,10/14,07/14,ML Engineer,01/19,07/16
255,Providence City College,3.47,PhD,Los Angeles,F,0,0,0,0,Lawyer,06/10,12/17,Senior SWE,06/13,06/19,Lawyer,04/14,08/12
256,Providence State University,3.21,Bachelor's,Boston,F,0,0,0,0,Junior SWE,09/18,12/18,Junior SWE,05/18,12/11,ML Engineer,07/14,01/19
257,Providence University,2.89,Bachelor's,Los Angeles,F,0,1,0,0,Data Scientist,11/13,05/16,Research Assistant,11/10,09/14,Senior SWE,06/10,12/19
258,Providence School,2.78,PhD,Los Angeles,F,0,0,0,3,Junior SWE,08/14,04/11,Research Assistant,03/10,09/15,ML Engineer,11/13,02/16
259,Providence University,3.63,Master's,New York,F,1,0,0,2,Data Scientist,02/13,06/17,Senior SWE,07/17,03/18,Junior SWE,04/18,10/15
260,State Providence College,3.25,Master's,Los Angeles,F,0,0,0,0,Lawyer,02/12,10/10,Research Assistant,08/13,02/15,Junior SWE,05/11,03/17
261,State Providence College,2.93,Bachelor's,New York,M,0,0,0,0,Senior SWE,06/18,04/10,Lawyer,02/14,01/17,ML Engineer,11/13,02/12
262,State Providence College,3.01,Bachelor's,Providence,M,0,0,0,0,Data Scientist,04/12,02/11,Senior SWE,08/13,12/16,N/A,11/19,05/10
263,Providence Tech Institute,3.64,Master's,Los Angeles,M,1,0,0,0,ML Engineer,02/17,12/11,Lawyer,05/12,10/17,ML Engineer,08/14,12/11
264,Providence University,3.06,Bachelor's,Miami,F,0,0,0,0,Research Assistant,11/15,06/18,Data Scientist,11/11,02/17,Lawyer,11/13,05/16
265,Providence Tech Institute,3.09,Master's,Boston,F,0,0,0,0,Research Assistant,01/10,05/18,ML Engineer,09/11,02/16,Senior SWE,01/13,06/16
266,Providence University,3.27,PhD,New York,F,0,1,0,3,Senior SWE,05/13,07/18,Data Scientist,12/15,10/15,Research Assistant,07/17,11/16
267,Providence State University,2.59,Master's,Los Angeles,M,0,0,0,1,Data Scientist,09/19,03/17,Data Scientist,04/18,05/16,ML Engineer,02/16,02/10
268,Providence City College,3.58,Bachelor's,Boston,F,0,0,0,3,Junior SWE,12/13,03/16,Senior SWE,09/11,10/14,N/A,04/12,10/13
269,Providence Tech Institute,2.64,Master's,Providence,M,0,0,0,1,ML Engineer,05/16,08/10,Lawyer,12/11,04/18,Senior SWE,05/13,05/19
270,State Providence College,3.83,Master's,New York,M,0,0,0,0,Senior SWE,09/16,06/10,Senior SWE,12/10,12/10,Junior SWE,08/14,02/12
271,State Providence College,3.31,Master's,Miami,F,0,0,0,3,Data Scientist,09/18,02/18,Lawyer,12/13,11/15,Lawyer,06/15,11/18
272,Providence Tech Institute,3.91,PhD,New York,M,0,0,0,1,Lawyer,01/17,01/13,Senior SWE,11/16,11/16,ML Engineer,11/15,07/12
273,Providence City College,3.1,Bachelor's,Boston,F,0,1,0,0,ML Engineer,01/10,01/18,Junior SWE,03/13,01/19,Data Scientist,08/10,07/12
274,Providence School,3.98,Bachelor's,Miami,F,0,0,0,0,Senior SWE,09/16,01/19,Data Scientist,07/11,12/18,N/A,12/12,08/11
275,Providence State University,3.41,Master's,Providence,F,0,1,0,0,Data Scientist,12/16,07/14,Lawyer,01/14,02/17,Data Scientist,09/12,03/12
276,State Providence College,2.69,PhD,Miami,M,0,0,0,0,Data Scientist,10/17,02/16,ML Engineer,11/12,05/10,Research Assistant,05/15,02/15
277,Providence State University,3.34,Bachelor's,Chicago,M,0,0,0,1,Senior SWE,05/11,04/18,Junior SWE,04/18,06/15,Junior SWE,07/12,09/19
278,Providence City College,2.58,Master's,Boston,M,0,0,0,1,ML Engineer,03/12,07/10,Junior SWE,05/10,03/16,Junior SWE,04/16,08/18
279,Providence School,3.16,Master's,Los Angeles,F,0,0,N/A,0,Research Assistant,07/17,03/14,ML Engineer,03/16,12/18,Data Scientist,05/14,07/11
280,Providence Tech Institute,3.51,Bachelor's,Chicago,M,0,0,0,0,Junior SWE,08/13,09/16,Research Assistant,10/15,05/10,Data Scientist,04/17,04/12
281,Providence State University,2.7,Master's,Providence,F,0,0,0,0,Senior SWE,05/13,12/16,Senior SWE,05/17,08/13,Senior SWE,08/19,11/18
282,Providence University,2.75,Bachelor's,Los Angeles,M,0,0,0,0,Junior SWE,04/10,03/19,Research Assistant,04/14,05/10,Junior SWE,08/16,10/19
283,Providence University,3.64,Master's,Miami,M,0,0,0,0,Data Scientist,09/18,04/12,Senior SWE,12/19,12/15,Data Scientist,09/16,08/14
284,Providence School,2.91,Master's,Boston,M,0,1,1,2,Data Scientist,09/12,04/17,Senior SWE,04/16,07/15,N/A,02/19,10/13
285,Providence City College,3.78,Bachelor's,Providence,F,0,1,0,0,Research Assistant,01/10,02/13,Senior SWE,08/16,05/16,Data Scientist,03/14,02/11
286,Providence University,3.42,Master's,Miami,F,0,0,0,0,ML Engineer,11/10,01/16,Lawyer,07/16,07/11,Lawyer,11/10,09/18
287,State Providence College,3.32,Bachelor's,New York,M,0,0,0,0,Junior SWE,08/10,06/14,Junior SWE,07/19,02/10,Research Assistant,11/12,10/15
288,Providence University,3.09,Bachelor's,New York,M,0,0,0,0,Senior SWE,03/18,10/17,ML Engineer,06/13,02/10,Data Scientist,01/12,04/16
289,State Providence College,3.94,Bachelor's,New York,M,1,0,0,0,Data Scientist,04/15,03/13,ML Engineer,02/19,02/19,Data Scientist,04/18,07/10
290,State Providence College,3.44,Bachelor's,Boston,F,0,0,0,1,Lawyer,10/14,05/14,Lawyer,11/18,10/12,Data Scientist,04/14,08/16
291,State Providence College,2.62,PhD,Chicago,F,0,0,0,0,Senior SWE,12/14,12/12,Research Assistant,07/19,04/18,ML Engineer,08/15,07/18
292,State Providence College,3.11,PhD,Providence,M,0,1,0,1,ML Engineer,06/12,05/11,Research Assistant,01/10,07/16,Data Scientist,05/16,07/11
293,Providence University,2.68,Master's,Providence,M,0,0,0,0,Lawyer,05/18,02/15,Research Assistant,09/19,05/10,Research Assistant,05/18,10/14
294,Providence School,3.6,PhD,New York,F,1,1,0,1,Data Scientist,04/14,08/19,ML Engineer,02/18,02/15,Junior SWE,03/13,11/12
295,State Providence College,2.87,PhD,Chicago,F,0,0,0,1,Data Scientist,04/13,04/11,Junior SWE,10/12,01/18,ML Engineer,08/15,07/12
296,Providence School,2.52,PhD,New York,F,0,0,0,0,Senior SWE,04/17,02/15,Senior SWE,01/19,10/10,ML Engineer,07/14,02/13
297,Providence School,3.99,Bachelor's,Los Angeles,M,0,0,0,0,ML Engineer,03/10,10/12,Research Assistant,11/19,08/17,Lawyer,03/15,12/15
298,Providence Tech Institute,3.21,Bachelor's,Chicago,F,0,0,0,0,Data Scientist,07/12,11/18,Lawyer,08/18,02/10,N/A,01/19,10/18
299,Providence School,2.55,PhD,Los Angeles,F,0,0,0,0,Data Scientist,04/15,07/10,Senior SWE,11/17,02/14,ML Engineer,09/19,10/13
300,Providence City College,3.18,PhD,Chicago,M,0,0,1,3,Lawyer,09/18,07/17,Data Scientist,08/14,06/18,Research Assistant,04/10,02/16
301,Providence State University,2.91,Master's,Chicago,M,0,1,0,0,Data Scientist,06/18,07/19,Junior SWE,05/14,04/16,Data Scientist,08/10,09/16
302,State Providence College,3.59,Bachelor's,Providence,F,0,0,0,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
303,Providence School,2.51,Master's,Los Angeles,M,0,0,0,0,ML Engineer,08/15,01/14,Lawyer,02/16,04/19,N/A,12/14,02/13
304,Providence Tech Institute,2.71,PhD,Miami,F,0,0,0,0,ML Engineer,12/15,12/17,Junior SWE,01/16,06/10,Lawyer,08/14,10/17
305,Providence Tech Institute,3.03,Bachelor's,Miami,F,1,1,0,1,Junior SWE,12/12,08/16,Junior SWE,12/18,08/12,Senior SWE,09/10,08/11
306,Providence State University,3.1,Bachelor's,Boston,F,0,0,1,0,Lawyer,02/10,11/16,Senior SWE,07/14,04/10,ML Engineer,04/19,01/13
307,Providence Tech Institute,3.23,PhD,Providence,F,0,0,0,0,Lawyer,03/10,05/19,Data Scientist,10/15,02/16,Lawyer,12/18,03/12
308,State Providence College,3.03,Bachelor's,Providence,F,0,0,0,0,ML Engineer,11/13,02/12,Junior SWE,06/12,11/11,Senior SWE,06/16,04/12
309,Providence Tech Institute,3.1,Bachelor's,Providence,M,0,0,0,0,ML Engineer,11/17,05/15,Junior SWE,09/11,08/19,Lawyer,08/15,02/19
310,Providence State University,3.23,PhD,Boston,F,0,0,0,0,Data Scientist,11/14,11/18,ML Engineer,10/19,05/10,ML Engineer,12/12,02/10
311,State Providence College,3.9,Master's,Boston,F,0,0,0,3,Lawyer,10/10,06/12,Lawyer,05/12,10/10,ML Engineer,03/17,08/14
312,Providence University,3.29,Bachelor's,Providence,F,0,0,0,0,Senior SWE,04/19,07/13,Senior SWE,06/17,02/11,Research Assistant,02/13,12/11
313,State Providence College,3.15,Master's,Los Angeles,M,0,1,0,1,Senior SWE,02/12,07/16,Data Scientist,04/15,09/15,Junior SWE,08/11,03/19
314,Providence School,2.57,PhD,Providence,M,0,0,0,0,Lawyer,11/19,06/14,Senior SWE,03/18,09/15,Data Scientist,10/17,11/14
315,Providence University,2.72,Master's,Providence,F,0,1,0,3,Research Assistant,02/10,07/15,ML Engineer,11/11,05/13,Data Scientist,11/17,07/12
316,Providence City College,3.64,Master's,Providence,F,0,0,1,0,Junior SWE,02/11,08/11,Junior SWE,04/19,10/14,Data Scientist,02/14,02/10
317,Providence School,3.94,PhD,Chicago,M,0,0,0,3,Research Assistant,02/10,11/16,Junior SWE,01/12,04/18,Junior SWE,02/10,08/17
318,Providence School,3.08,Master's,Miami,F,0,0,0,3,Lawyer,02/15,03/12,Research Assistant,02/18,06/14,Junior SWE,08/16,01/13
319,Providence School,3.94,Bachelor's,Chicago,F,0,0,0,0,Lawyer,11/14,01/10,ML Engineer,09/10,10/13,Senior SWE,11/10,01/15
320,Providence State University,2.99,Bachelor's,New York,F,0,1,0,1,Senior SWE,06/11,09/13,Senior SWE,01/19,02/16,Data Scientist,12/16,08/12
321,Providence State University,3.93,PhD,Los Angeles,M,0,0,0,0,Research Assistant,07/17,04/14,Research Assistant,08/10,05/14,Senior SWE,01/19,11/15
322,State Providence College,3.41,Bachelor's,New York,M,1,1,0,2,Senior SWE,09/10,01/11,Research Assistant,08/19,10/12,Senior SWE,06/10,03/15
323,Providence State University,2.54,PhD,Chicago,F,0,0,0,3,Junior SWE,12/14,03/15,Junior SWE,04/15,06/16,Lawyer,06/18,10/10
324,Providence City College,2.62,PhD,Miami,M,0,0,0,3,Junior SWE,05/14,09/12,Junior SWE,09/12,04/19,Data Scientist,06/17,03/14
325,Providence Tech Institute,3.97,Bachelor's,Providence,M,1,1,0,0,Lawyer,12/17,03/15,Research Assistant,12/16,11/12,Junior SWE,02/17,04/10
326,Providence Tech Institute,2.96,Master's,Miami,M,0,1,0,0,Senior SWE,11/10,07/13,Data Scientist,02/14,08/18,N/A,05/19,11/16
327,Providence City College,2.52,Bachelor's,Providence,F,1,0,0,0,ML Engineer,02/15,12/11,ML Engineer,05/11,04/17,Senior SWE,03/11,05/16
328,Providence School,2.62,Master's,Chicago,F,0,0,0,3,Data Scientist,09/11,03/16,Lawyer,10/14,08/17,Data Scientist,05/10,11/17
329,Providence City College,3.29,Bachelor's,New York,M,0,1,0,1,Junior SWE,01/18,09/15,Junior SWE,04/11,04/12,N/A,10/13,12/12
330,State Providence College,2.84,Master's,Boston,M,0,0,0,0,ML Engineer,01/18,11/18,Data Scientist,07/16,08/11,Research Assistant,09/15,11/17
331,Providence City College,3.63,Master's,Los Angeles,F,0,0,0,0,Junior SWE,12/18,04/19,Lawyer,01/11,09/15,Research Assistant,02/19,03/17
332,Providence City College,3.83,PhD,Boston,F,0,0,0,0,ML Engineer,06/11,12/17,Lawyer,09/15,08/14,N/A,03/13,07/12
333,Providence Tech Institute,3.04,Master's,Boston,M,0,0,0,3,ML Engineer,12/11,02/15,Junior SWE,06/18,08/14,Research Assistant,08/14,02/15
334,Providence University,3.54,Bachelor's,New York,F,0,0,0,3,Lawyer,12/10,03/18,Lawyer,02/11,09/15,ML Engineer,08/10,04/11
335,Providence State University,3.59,PhD,Los Angeles,F,0,0,0,0,ML Engineer,07/16,08/19,Lawyer,05/19,11/12,Data Scientist,09/10,08/14
336,Providence School,3.21,Master's,New York,N/A,1,1,1,0,Research Assistant,02/15,07/19,Senior SWE,08/19,08/10,Senior SWE,11/14,02/17
337,Providence State University,2.89,Bachelor's,Boston,M,0,0,0,3,ML Engineer,01/17,11/16,Junior SWE,06/11,10/17,Research Assistant,04/12,09/10
338,State Providence College,3.64,Master's,Los Angeles,M,0,1,0,0,Senior SWE,04/19,01/15,Junior SWE,10/12,05/18,ML Engineer,04/19,01/17
339,Providence School,2.58,Bachelor's,Chicago,M,0,0,0,0,ML Engineer,06/10,05/15,Senior SWE,03/16,06/19,Data Scientist,07/14,02/14
340,Providence School,2.62,PhD,New York,N/A,0,0,0,3,Senior SWE,06/18,03/11,ML Engineer,10/12,10/17,ML Engineer,04/17,01/10
341,Providence State University,2.68,Master's,New York,N/A,0,0,0,1,Research Assistant,07/10,11/16,ML Engineer,09/18,09/12,Senior SWE,08/16,10/13
342,Providence School,2.98,PhD,New York,M,1,0,0,0,Junior SWE,06/11,04/10,Research Assistant,08/16,06/12,N/A,01/15,07/16
343,Providence School,2.95,PhD,New York,M,1,1,0,0,Senior SWE,02/17,05/17,Data Scientist,04/13,09/12,Research Assistant,04/13,07/10
344,Providence University,2.98,PhD,Chicago,F,0,0,0,1,Senior SWE,12/17,10/13,Junior SWE,02/17,11/18,Research Assistant,03/15,10/13
345,Providence School,2.65,Bachelor's,Boston,M,0,1,0,0,Junior SWE,03/15,04/18,Lawyer,03/18,02/15,Lawyer,08/11,03/12
346,Providence State University,3.13,Bachelor's,New York,M,0,0,0,0,Senior SWE,01/13,08/10,Research Assistant,12/11,12/14,Research Assistant,04/16,01/18
347,Providence Tech Institute,3.23,Bachelor's,New York,F,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
348,Providence City College,3.82,PhD,Miami,F,0,0,0,3,Senior SWE,03/14,05/19,Lawyer,03/19,07/17,N/A,07/14,10/15
349,Providence School,3.89,PhD,Providence,N/A,0,1,0,3,ML Engineer,08/11,02/12,Junior SWE,06/15,03/18,Data Scientist,04/16,12/11
350,State Providence College,3.0,Master's,New York,F,1,0,0,1,Senior SWE,05/16,04/18,Research Assistant,05/11,08/14,Lawyer,03/12,02/12
351,Providence School,3.94,Master's,Boston,M,0,0,0,0,ML Engineer,01/15,06/11,ML Engineer,02/18,07/13,ML Engineer,10/12,08/10
352,Providence School,3.21,PhD,Providence,M,0,0,1,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
353,Providence School,3.76,Bachelor's,Miami,F,0,0,0,0,Lawyer,05/12,01/18,ML Engineer,12/11,08/11,Junior SWE,07/14,11/15
354,Providence University,2.51,Master's,Miami,M,0,1,0,3,Senior SWE,07/13,04/18,Research Assistant,03/12,11/15,Lawyer,09/18,10/12
355,State Providence College,2.62,PhD,Providence,F,0,1,0,1,Junior SWE,12/18,09/15,Lawyer,10/19,10/15,N/A,06/18,10/17
356,Providence City College,3.14,Bachelor's,New York,M,0,1,0,3,Junior SWE,09/11,10/19,Research Assistant,06/16,09/17,Lawyer,07/12,07/19
357,Providence State University,3.09,Bachelor's,Los Angeles,N/A,0,1,0,0,Data Scientist,06/15,04/18,Data Scientist,08/18,01/15,ML Engineer,09/17,11/14
358,Providence City College,3.19,PhD,Boston,N/A,0,0,0,3,Research Assistant,12/18,03/14,Junior SWE,02/10,09/12,Senior SWE,04/15,01/17
359,Providence School,2.9,PhD,Boston,M,0,0,0,0,Data Scientist,05/12,04/12,ML Engineer,11/10,08/10,N/A,05/11,04/16
360,Providence City College,3.36,Bachelor's,Boston,M,1,1,0,3,Junior SWE,07/11,09/16,Lawyer,12/17,12/18,Junior SWE,11/13,03/11
361,Providence State University,3.61,Master's,New York,F,0,0,0,0,ML Engineer,10/12,06/16,Lawyer,05/10,01/15,Senior SWE,05/16,12/16
362,Providence University,2.7,Bachelor's,Providence,M,0,1,1,1,Senior SWE,08/10,09/14,ML Engineer,06/17,04/17,Data Scientist,04/15,02/18
363,Providence School,3.32,Bachelor's,Miami,M,0,0,0,3,Data Scientist,12/17,05/12,ML Engineer,02/13,10/11,N/A,11/19,12/18
364,Providence University,2.86,PhD,Miami,M,0,0,N/A,0,Senior SWE,05/16,05/14,Lawyer,07/10,09/18,Senior SWE,05/12,12/10
365,Providence University,3.83,PhD,Los Angeles,N/A,0,0,0,3,Senior SWE,06/11,07/16,Junior SWE,03/18,08/14,Lawyer,06/11,06/10
